Province,District,Year,Household_Size,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_per_capita,StatsSA_Households_Cellphone,StatsSA_Households_LandCell (%),StatsSA_Households_MobileInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt (%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
FS,T Mofutsanyana DM: DC19,2023,3.5,Rural,1514357,2053060,72,24.7306,1704.188,88.3,5.2,71.5,7.4,9,75.3,4.52
FS,T Mofutsanyana DM: DC19,2024,3.5,Rural,758118,1487118,72,21.6222,1560.983,87.9,5.7,72,5.2,8.7,77.2,4.52
FS,Xhariep DM: DC16,2022,3,Rural,254238,534519,17,23.5858,1746.735,82.5,10.4,68.2,6.1,8.6,72.6,0.24
FS,Xhariep DM: DC16,2023,3,Rural,254502,546466,17,24.7306,1704.188,88.3,5.2,71.5,7.4,9,75.3,0.24
FS,Xhariep DM: DC16,2024,3,Rural,127471,323189,17,21.6222,1560.983,87.9,5.7,72,5.2,8.7,77.2,0.24
GP,City of Ekurhuleni MM: EKU,2022,3,Urban,8161398,7286110,93,40.9064,1469.511,91.5,6,71.5,11.5,19.3,80,0.24
GP,City of Ekurhuleni MM: EKU,2023,3,Urban,8330220,7418496,93,39.35,1383.721,91.7,5.9,73.1,11.3,21.3,81.9,0.24
GP,City of Ekurhuleni MM: EKU,2024,3,Urban,4250640,5046401,93,38.0526,1327.169,90.1,7.9,75.7,10,18.9,86,0.24
GP,Johannesburg MM: JHB,2022,2.6,Urban,12242645,10429000,118,40.9064,1469.511,91.5,6,71.5,11.5,19.3,80,0.24
GP,Johannesburg MM: JHB,2023,2.6,Urban,12590143,10669522,118,39.35,1383.721,91.7,5.9,73.1,11.3,21.3,81.9,0.24
GP,Johannesburg MM: JHB,2024,2.6,Urban,6465812,7346086,119,38.0526,1327.169,90.1,7.9,75.7,10,18.9,86,0.24
GP,Sedibeng DM: DC42,2022,3.2,Rural,1932460,2058293,38,40.9064,1469.511,91.5,6,71.5,11.5,19.3,80,0.91
GP,Sedibeng DM: DC42,2023,3.2,Rural,1937998,2072273,38,39.35,1383.721,91.7,5.9,73.1,11.3,21.3,81.9,0.91
GP,Sedibeng DM: DC42,2024,3.2,Rural,972188,1483021,38,38.0526,1327.169,90.1,7.9,75.7,10,18.9,86,0.91
