Province,District,Year,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_pc,StatsSA_Households_Landline (%),StatsSA_Households_Cellphone (%),StatsSA_Households_LandCell (%),StatsSA_Household_None (%),StatsSA_Households_MobileInt (%),StatsSA_Households_FixInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt ()%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
KZ,Zululand DM: DC26,2022,Rural,1734475,,75,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,2.3
KZ,Zululand DM: DC26,2023,Rural,1744257,,75,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,2.3
KZ,Zululand DM: DC26,2024,Rural,877196,2214480,75,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,2.3
KZ,eThekwini MM: ETH,2022,Urban,8036700,,120,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,0.24
KZ,eThekwini MM: ETH,2023,Urban,8145854,,121,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,0.24
KZ,eThekwini MM: ETH,2024,Urban,4125608,7110620,121,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,0.24
KZ,iLembe DM: DC29,2022,Rural,1377921,,36,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,2.3
KZ,iLembe DM: DC29,2023,Rural,1393180,,36,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,2.3
KZ,iLembe DM: DC29,2024,Rural,703372,1484533,36,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,2.3
KZ,uMgungundlovu DM: DC22,2022,Rural,2300569,,53,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,2.3
KZ,uMgungundlovu DM: DC22,2023,Rural,2326703,,53,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,2.3
KZ,uMgungundlovu DM: DC22,2024,Rural,1177092,2277784,53,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,2.3
KZ,uMkhanyakude DM: DC27,2022,Rural,1361311,,59,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,0.91
KZ,uMkhanyakude DM: DC27,2023,Rural,1371185,,59,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,0.91
KZ,uMkhanyakude DM: DC27,2024,Rural,690192,2095291,60,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,0.91
KZ,uMzinyathi DM: DC24,2022,Rural,1138908,,54,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,2.3
KZ,uMzinyathi DM: DC24,2023,Rural,1151519,,54,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,2.3
KZ,uMzinyathi DM: DC24,2024,Rural,582409,1311020,54,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,2.3
KZ,uThukela DM: DC23,2022,Rural,1417988,,37,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,8.99
KZ,uThukela DM: DC23,2023,Rural,1423032,,37,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,8.99
KZ,uThukela DM: DC23,2024,Rural,714070,1466673,37,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,8.99
LP,Capricorn DM: DC35,2022,Rural,2707690,,101,27.5688,1349.842,0,92.1,5,2.8,60.8,3.4,1.6,4.8,62.2,0.91
LP,Capricorn DM: DC35,2023,Rural,2715333,,101,31.0936,1493.918,0,94.1,3.6,2.3,67.3,4.5,1.9,3.5,69.7,0.91
LP,Capricorn DM: DC35,2024,Rural,1361654,2514487,101,31.4878,1736.317,0,94.9,3,2,74.4,7,1.4,4.5,76.9,0.91
LP,Mopani DM: DC33,2022,Rural,2453877,,105,27.5688,1349.842,0,92.1,5,2.8,60.8,3.4,1.6,4.8,62.2,0.91
LP,Mopani DM: DC33,2023,Rural,2468949,,105,31.0936,1493.918,0,94.1,3.6,2.3,67.3,4.5,1.9,3.5,69.7,0.91
LP,Mopani DM: DC33,2024,Rural,1241931,2890030,104,31.4878,1736.317,0,94.9,3,2,74.4,7,1.4,4.5,76.9,0.91
LP,Sekhukhune DM: DC47,2022,Rural,2478700,,89,27.5688,1349.842,0,92.1,5,2.8,60.8,3.4,1.6,4.8,62.2,0.91
LP,Sekhukhune DM: DC47,2023,Rural,2499574,,89,31.0936,1493.918,0,94.1,3.6,2.3,67.3,4.5,1.9,3.5,69.7,0.91
LP,Sekhukhune DM: DC47,2024,Rural,1261291,2204776,89,31.4878,1736.317,0,94.9,3,2,74.4,7,1.4,4.5,76.9,0.91
LP,Vhembe DM: DC34,2022,Rural,2976322,,123,27.5688,1349.842,0,92.1,5,2.8,60.8,3.4,1.6,4.8,62.2,0.91
LP,Vhembe DM: DC34,2023,Rural,3002503,,123,31.0936,1493.918,0,94.1,3.6,2.3,67.3,4.5,1.9,3.5,69.7,0.91
LP,Vhembe DM: DC34,2024,Rural,1514770,3355584,123,31.4878,1736.317,0,94.9,3,2,74.4,7,1.4,4.5,76.9,0.91
LP,Waterberg DM: DC36,2022,Rural,1552343,,64,27.5688,1349.842,0,92.1,5,2.8,60.8,3.4,1.6,4.8,62.2,4.52
LP,Waterberg DM: DC36,2023,Rural,1562529,,63,31.0936,1493.918,0,94.1,3.6,2.3,67.3,4.5,1.9,3.5,69.7,4.52
LP,Waterberg DM: DC36,2024,Rural,786231,1497667,60,31.4878,1736.317,0,94.9,3,2,74.4,7,1.4,4.5,76.9,4.52
MP,Ehlanzeni DM: DC32,2022,Semi-Urban,3680566,,128,26.9603,1631.978,0,93.5,3.8,2.7,76.2,3.9,5.5,5,78.2,0.24
MP,Ehlanzeni DM: DC32,2023,Semi-Urban,3707863,,128,30.321,1543.03,0,95.1,2.5,2.4,76.9,3.1,4.4,5.7,78.5,0.24
MP,Ehlanzeni DM: DC32,2024,Semi-Urban,1866920,3974460,127,29.508,1487.058,0,94.6,3.7,1.9,77.9,5.6,3.3,6.6,80.2,0.24
MP,G Sibande DM: DC30,2022,Rural,2525225,,76,26.9603,1631.978,0,93.5,3.8,2.7,76.2,3.9,5.5,5,78.2,2.3
MP,G Sibande DM: DC30,2023,Rural,2567438,,76,30.321,1543.03,0,95.1,2.5,2.4,76.9,3.1,4.4,5.7,78.5,2.3
MP,G Sibande DM: DC30,2024,Rural,1304284,1892645,77,29.508,1487.058,0,94.6,3.7,1.9,77.9,5.6,3.3,6.6,80.2,2.3
MP,Nkangala DM: DC31,2022,Rural,3291296,,92,26.9603,1631.978,0,93.5,3.8,2.7,76.2,3.9,5.5,5,78.2,0.91
MP,Nkangala DM: DC31,2023,Rural,3354817,,94,30.321,1543.03,0,95.1,2.5,2.4,76.9,3.1,4.4,5.7,78.5,0.91
MP,Nkangala DM: DC31,2024,Rural,1708843,2300033,95,29.508,1487.058,0,94.6,3.7,1.9,77.9,5.6,3.3,6.6,80.2,0.91
NC,Frances Baard DM: DC9,2022,Rural,835541,,30,32.3916,2062.643,0,85.2,4.1,10.8,66.1,8.4,9.4,10.9,68.5,0.24
NC,Frances Baard DM: DC9,2023,Rural,842363,,31,26.913,1989.021,0.2,86.3,3.4,10.1,68,7.4,11.6,11.6,70.4,0.24
NC,Frances Baard DM: DC9,2024,Rural,424540,732751,31,25.9922,1566.025,0.1,90,3.1,8.6,65.3,11.1,10.5,9.1,70.3,0.24
NC,JT Gaetsewe DM: DC45,2022,Rural,549314,,43,32.3916,2062.643,0,85.2,4.1,10.8,66.1,8.4,9.4,10.9,68.5,0.91
NC,JT Gaetsewe DM: DC45,2023,Rural,558140,,43,26.913,1989.021,0.2,86.3,3.4,10.1,68,7.4,11.6,11.6,70.4,0.91
NC,JT Gaetsewe DM: DC45,2024,Rural,283463,535438,43,25.9922,1566.025,0.1,90,3.1,8.6,65.3,11.1,10.5,9.1,70.3,0.91
NC,Namakwa DM: DC6,2022,Rural,228155,,33,32.3916,2062.643,0,85.2,4.1,10.8,66.1,8.4,9.4,10.9,68.5,0.24
NC,Namakwa DM: DC6,2023,Rural,228487,,32,26.913,1989.021,0.2,86.3,3.4,10.1,68,7.4,11.6,11.6,70.4,0.24
NC,Namakwa DM: DC6,2024,Rural,114367,334415,32,25.9922,1566.025,0.1,90,3.1,8.6,65.3,11.1,10.5,9.1,70.3,0.24
NC,Pixley Ka Seme DM: DC7,2022,Semi-Urban,416333,,36,32.3916,2062.643,0,85.2,4.1,10.8,66.1,8.4,9.4,10.9,68.5,0.24
NC,Pixley Ka Seme DM: DC7,2023,Semi-Urban,419825,,36,26.913,1989.021,0.2,86.3,3.4,10.1,68,7.4,11.6,11.6,70.4,0.24
NC,Pixley Ka Seme DM: DC7,2024,Semi-Urban,211609,529963,36,25.9922,1566.025,0.1,90,3.1,8.6,65.3,11.1,10.5,9.1,70.3,0.24
NC,ZF Mgcawu DM: DC8,2022,Rural,564724,,20,32.3916,2062.643,0,85.2,4.1,10.8,66.1,8.4,9.4,10.9,68.5,0.24
NC,ZF Mgcawu DM: DC8,2023,Rural,572799,,20,26.913,1989.021,0.2,86.3,3.4,10.1,68,7.4,11.6,11.6,70.4,0.24
NC,ZF Mgcawu DM: DC8,2024,Rural,290296,550446,21,25.9922,1566.025,0.1,90,3.1,8.6,65.3,11.1,10.5,9.1,70.3,0.24
NW,Bojanala Platinum DM: DC37,2022,Rural,3945834,,121,36.9248,1370.132,0.1,91.6,4.2,4.1,65.7,3.5,6.2,6.2,67.8,2.3
NW,Bojanala Platinum DM: DC37,2023,Rural,4031530,,121,39.7328,1308.706,0.1,93.4,2,4.5,70.5,5.3,4.7,8.1,72.3,2.3
NW,Bojanala Platinum DM: DC37,2024,Rural,2058230,2820429,121,40.0715,1203.347,0.1,92.3,3.7,4.6,73.2,7.5,5.4,7.1,75,2.3
NW,Dr K Kaunda DM: DC40,2022,Rural,1623496,,42,36.9248,1370.132,0.1,91.6,4.2,4.1,65.7,3.5,6.2,6.2,67.8,0.91
NW,Dr K Kaunda DM: DC40,2023,Rural,1646965,,43,39.7328,1308.706,0.1,93.4,2,4.5,70.5,5.3,4.7,8.1,72.3,0.91
NW,Dr K Kaunda DM: DC40,2024,Rural,834931,1337707,43,40.0715,1203.347,0.1,92.3,3.7,4.6,73.2,7.5,5.4,7.1,75,0.91
NW,NM Molema DM: DC38,2022,Rural,1821681,,88,36.9248,1370.132,0.1,91.6,4.2,4.1,65.7,3.5,6.2,6.2,67.8,0.24
NW,NM Molema DM: DC38,2023,Rural,1832788,,87,39.7328,1308.706,0.1,93.4,2,4.5,70.5,5.3,4.7,8.1,72.3,0.24
NW,NM Molema DM: DC38,2024,Rural,922575,1771800,90,40.0715,1203.347,0.1,92.3,3.7,4.6,73.2,7.5,5.4,7.1,75,0.24
NW,RS Mompati DM: DC39,2022,Rural,947177,,61,36.9248,1370.132,0.1,91.6,4.2,4.1,65.7,3.5,6.2,6.2,67.8,4.52
NW,RS Mompati DM: DC39,2023,Rural,951274,,63,39.7328,1308.706,0.1,93.4,2,4.5,70.5,5.3,4.7,8.1,72.3,4.52
NW,RS Mompati DM: DC39,2024,Rural,477280,1187842,63,40.0715,1203.347,0.1,92.3,3.7,4.6,73.2,7.5,5.4,7.1,75,4.52
WC,Cape Town MM: CPT,2022,Urban,9373049,,127,32.6317,1795.7458,0.3,80.4,14.7,4.6,68.5,34.7,13.1,19.8,84.6,0.91
WC,Cape Town MM: CPT,2023,Urban,9553007,,118,35.2175,1693.2257,0.1,88,6.9,5,70.8,40.1,14.9,22.3,88.1,0.91
WC,Cape Town MM: CPT,2024,Urban,4867548,7231914,120,30.3827,1600.7881,0.1,90.7,5.1,4.2,79.5,44.9,12.9,21.7,92,0.91
WC,Cape Winelands DM: DC2,2022,Rural,1916797,,45,32.6317,1795.7458,0.3,80.4,14.7,4.6,68.5,34.7,13.1,19.8,84.6,0.91
WC,Cape Winelands DM: DC2,2023,Rural,1949506,,46,35.2175,1693.2257,0.1,88,6.9,5,70.8,40.1,14.9,22.3,88.1,0.91
